dataset,episode_id,failure_class,T,tau,horizon,det_esn,det_maha,det_logistic
sim,test-0550,context_corruption,39,21,17,True,True,True
sim,test-0551,context_corruption,33,24,8,True,True,True
sim,test-0552,context_corruption,35,16,18,True,True,True
sim,test-0553,context_corruption,36,18,17,True,False,True
sim,test-0554,context_corruption,32,13,18,True,True,True
sim,test-0555,context_corruption,39,18,20,True,True,True
sim,test-0556,context_corruption,48,31,16,True,False,True
sim,test-0557,context_corruption,27,16,10,True,True,True
sim,test-0558,context_corruption,35,22,12,True,True,True
sim,test-0559,context_corruption,28,19,8,True,True,True
gemini,real-tool_cascade-001,tool_cascade,7,3,3,True,True,True
gemini,real-tool_cascade-002,tool_cascade,7,3,3,True,True,True
gemini,real-tool_cascade-003,tool_cascade,7,2,4,True,True,True
gemini,real-tool_cascade-006,tool_cascade,5,3,1,False,False,False
gemini,real-tool_cascade-007,tool_cascade,5,2,2,False,True,False
gemini,real-tool_cascade-008,tool_cascade,7,2,4,True,True,True
gemini,real-tool_cascade-009,tool_cascade,4,2,1,True,True,True
gemini,real-tool_cascade-010,tool_cascade,8,2,5,True,True,True
gemini,real-tool_cascade-011,tool_cascade,8,2,5,True,True,True
gemini,real-tool_cascade-012,tool_cascade,7,3,3,True,True,True
gemini,real-tool_cascade-014,tool_cascade,5,2,2,False,False,False
gemini,real-tool_cascade-015,tool_cascade,8,3,4,True,True,True
gemini,real-tool_cascade-016,tool_cascade,5,2,2,True,True,True
gemini,real-tool_cascade-017,tool_cascade,9,3,5,True,True,True
gemini,real-tool_cascade-018,tool_cascade,7,2,4,True,True,True
gemini,real-tool_cascade-019,tool_cascade,6,3,2,True,True,True
gemini,real-tool_cascade-021,tool_cascade,7,2,4,True,True,True
gemini,real-tool_cascade-023,tool_cascade,7,2,4,True,True,True
gemini,real-looping-000,looping,8,3,4,True,True,True
gemini,real-looping-003,looping,8,3,4,True,True,True
gemini,real-looping-005,looping,6,2,3,True,True,True
gemini,real-looping-006,looping,8,3,4,True,True,True
gemini,real-looping-007,looping,6,2,3,True,True,True
gemini,real-looping-010,looping,6,2,3,True,True,True
gemini,real-looping-011,looping,9,2,6,True,True,True
gemini,real-looping-012,looping,7,3,3,True,True,True
gemini,real-looping-013,looping,6,2,3,True,True,True
gemini,real-looping-014,looping,4,3,0,True,True,True
gemini,real-looping-015,looping,8,3,4,True,True,True
gemini,real-looping-016,looping,6,2,3,True,True,True
gemini,real-looping-018,looping,7,2,4,True,True,True
gemini,real-looping-020,looping,8,3,4,True,True,True
gemini,real-looping-021,looping,6,2,3,True,True,True
gemini,real-looping-022,looping,6,3,2,True,True,True
gemini,real-looping-023,looping,11,3,7,True,True,True
gemini,real-looping-024,looping,6,2,3,True,True,True
gemini,real-goal_drift-000,goal_drift,8,3,4,True,True,True
gemini,real-goal_drift-001,goal_drift,9,3,5,True,True,True
gemini,real-goal_drift-002,goal_drift,5,2,2,False,False,False
gemini,real-goal_drift-003,goal_drift,4,3,0,True,False,True
gemini,real-goal_drift-004,goal_drift,8,2,5,True,True,True
gemini,real-goal_drift-005,goal_drift,4,3,0,True,False,True
gemini,real-goal_drift-006,goal_drift,4,2,1,True,False,True
gemini,real-goal_drift-007,goal_drift,4,2,1,True,False,True
gemini,real-goal_drift-008,goal_drift,5,2,2,False,False,False
gemini,real-goal_drift-009,goal_drift,8,2,5,True,True,True
gemini,real-goal_drift-010,goal_drift,5,3,1,False,False,False
gemini,real-goal_drift-011,goal_drift,5,3,1,False,False,False
gemini,real-goal_drift-013,goal_drift,8,2,5,True,False,True
gemini,real-goal_drift-014,goal_drift,8,2,5,True,True,True
gemini,real-goal_drift-016,goal_drift,9,2,6,True,True,True
gemini,real-goal_drift-018,goal_drift,5,2,2,False,False,False
gemini,real-goal_drift-019,goal_drift,10,3,6,True,True,True
gemini,real-goal_drift-020,goal_drift,7,3,3,True,True,True
gemini,real-goal_drift-021,goal_drift,6,3,2,True,False,True
gemini,real-goal_drift-022,goal_drift,5,3,1,False,False,False
gemini,real-goal_drift-023,goal_drift,8,2,5,True,False,True
gemini,real-goal_drift-024,goal_drift,13,2,10,True,True,True
gemini,real-context_corruption-000,context_corruption,6,3,2,True,False,True
gemini,real-context_corruption-001,context_corruption,5,3,1,True,False,False
gemini,real-context_corruption-003,context_corruption,7,3,3,False,False,False
gemini,real-context_corruption-004,context_corruption,8,3,4,True,True,True
gemini,real-context_corruption-005,context_corruption,7,3,3,True,False,True
gemini,real-context_corruption-006,context_corruption,7,3,3,True,False,True
gemini,real-context_corruption-008,context_corruption,4,3,0,False,True,False
gemini,real-context_corruption-009,context_corruption,5,3,1,False,False,False
gemini,real-context_corruption-010,context_corruption,5,2,2,False,False,False
gemini,real-context_corruption-011,context_corruption,5,3,1,False,False,False
gemini,real-context_corruption-012,context_corruption,5,2,2,False,False,False
gemini,real-context_corruption-013,context_corruption,5,2,2,False,False,False
gemini,real-context_corruption-014,context_corruption,5,2,2,False,False,False
gemini,real-context_corruption-015,context_corruption,9,3,5,True,False,True
gemini,real-context_corruption-016,context_corruption,5,2,2,False,False,False
gemini,real-context_corruption-017,context_corruption,7,2,4,True,False,True
gemini,real-context_corruption-018,context_corruption,5,3,1,False,False,False
gemini,real-context_corruption-019,context_corruption,5,3,1,False,False,False
gemini,real-context_corruption-020,context_corruption,5,3,1,False,False,False
gemini,real-context_corruption-022,context_corruption,4,3,0,False,True,False
gemini,real-context_corruption-024,context_corruption,5,3,1,False,False,False
autogen7b,autogen-tool_cascade-005,tool_cascade,5,3,1,True,False,False
autogen7b,autogen-tool_cascade-006,tool_cascade,6,4,1,True,True,True
autogen7b,autogen-tool_cascade-008,tool_cascade,5,3,1,True,True,True
autogen7b,autogen-tool_cascade-012,tool_cascade,7,4,2,True,False,False
autogen7b,autogen-tool_cascade-013,tool_cascade,7,4,2,True,True,True
autogen7b,autogen-tool_cascade-014,tool_cascade,7,3,3,True,False,False
autogen7b,autogen-tool_cascade-015,tool_cascade,5,2,2,True,False,False
autogen7b,autogen-tool_cascade-017,tool_cascade,5,3,1,True,True,True
autogen7b,autogen-tool_cascade-018,tool_cascade,5,2,2,True,True,True
autogen7b,autogen-tool_cascade-019,tool_cascade,5,2,2,True,False,False
autogen7b,autogen-tool_cascade-020,tool_cascade,7,3,3,True,True,True
autogen7b,autogen-tool_cascade-023,tool_cascade,4,2,1,True,True,False
autogen7b,autogen-tool_cascade-025,tool_cascade,5,2,2,True,False,True
autogen7b,autogen-tool_cascade-026,tool_cascade,5,3,1,True,True,False
autogen7b,autogen-tool_cascade-027,tool_cascade,5,3,1,True,False,False
autogen7b,autogen-tool_cascade-030,tool_cascade,4,2,1,True,True,False
autogen7b,autogen-tool_cascade-031,tool_cascade,5,3,1,True,False,False
autogen7b,autogen-tool_cascade-032,tool_cascade,5,3,1,True,False,False
autogen7b,autogen-tool_cascade-034,tool_cascade,7,3,3,True,False,False
autogen7b,autogen-tool_cascade-035,tool_cascade,5,3,1,True,True,True
autogen7b,autogen-looping-000,looping,6,3,2,True,True,True
autogen7b,autogen-looping-001,looping,6,3,2,True,True,True
autogen7b,autogen-looping-002,looping,5,3,1,False,False,False
autogen7b,autogen-looping-003,looping,6,3,2,True,True,True
autogen7b,autogen-looping-004,looping,7,2,4,True,False,False
autogen7b,autogen-looping-005,looping,5,2,2,False,False,False
autogen7b,autogen-looping-006,looping,6,3,2,False,True,True
autogen7b,autogen-looping-007,looping,5,3,1,False,False,False
